1 [[1, 2, 3, 4, 5]]
2 [[1], [2, 3, 4, 5]]
3 [[1, 2], [3, 4, 5]]
4 [[1, 3, 4, 5], [2]]
5 [[1], [2], [3, 4, 5]]
6 [[1, 2, 3], [4, 5]]
7 [[1, 4, 5], [2, 3]]
8 [[1], [2, 3], [4, 5]]
9 [[1, 3], [2, 4, 5]]
10 [[1, 2, 4, 5], [3]]
11 [[1], [2, 4, 5], [3]]
12 [[1, 2], [3], [4, 5]]
13 [[1, 3], [2], [4, 5]]
14 [[1, 4, 5], [2], [3]]
15 [[1], [2], [3], [4, 5]]
16 [[1, 2, 3, 4], [5]]
17 [[1, 5], [2, 3, 4]]
18 [[1], [2, 3, 4], [5]]
19 [[1, 3, 4], [2, 5]]
20 [[1, 2, 5], [3, 4]]
21 [[1], [2, 5], [3, 4]]
22 [[1, 2], [3, 4], [5]]
23 [[1, 3, 4], [2], [5]]
24 [[1, 5], [2], [3, 4]]
25 [[1], [2], [3, 4], [5]]
26 [[1, 2, 4], [3, 5]]
27 [[1, 3, 5], [2, 4]]
28 [[1], [2, 4], [3, 5]]
29 [[1, 4], [2, 3, 5]]
30 [[1, 2, 3, 5], [4]]
31 [[1], [2, 3, 5], [4]]
32 [[1, 2], [3, 5], [4]]
33 [[1, 4], [2], [3, 5]]
34 [[1, 3, 5], [2], [4]]
35 [[1], [2], [3, 5], [4]]
36 [[1, 2, 3], [4], [5]]
37 [[1, 4], [2, 3], [5]]
38 [[1, 5], [2, 3], [4]]
39 [[1], [2, 3], [4], [5]]
40 [[1, 3], [2, 4], [5]]
41 [[1, 2, 4], [3], [5]]
42 [[1, 5], [2, 4], [3]]
43 [[1], [2, 4], [3], [5]]
44 [[1, 3], [2, 5], [4]]
45 [[1, 4], [2, 5], [3]]
46 [[1, 2, 5], [3], [4]]
47 [[1], [2, 5], [3], [4]]
48 [[1, 2], [3], [4], [5]]
49 [[1, 3], [2], [4], [5]]
50 [[1, 4], [2], [3], [5]]
51 [[1, 5], [2], [3], [4]]
52 [[1], [2], [3], [4], [5]]
